3,3,65.41,29.43,3.64,6.21,5492.47
3,4,68.59,29.47,3.63,6.95,5302.74
3,5,67.49,29.45,2.48,6.9,5344.52
3,6,69.15,29.31,2.29,6.22,5302.07
3,7,67.93,29.15,2.49,5.94,5412.33
3,8,67.07,29.46,2.85,6.56,5193.33
3,9,67.32,29.95,2.73,5.95,5122.07
3,10,63.63,30.32,2.6,6.46,5537.93
3,11,59.98,30.37,2.29,6.65,4790.28
3,12,58.4,30.85,1.97,6.48,5152.41
3,13,67.33,29.19,3.59,6.87,2525.69
3,14,70.91,29.51,6.39,6.77,2510.95
3,15,74.24,28.99,5.17,5.5,4863.16
3,16,76.71,28.71,4.17,6.33,4992
3,17,72.78,29.27,1.99,5.7,5479.17
3,18,75.14,28.98,1.95,6.08,4236
3,19,77.79,28.74,2.38,5.83,3760.71
3,20,72.75,29.08,3.29,5.6,5053.85
3,21,78.37,28.66,3.8,5.39,4991.67
3,22,73.89,29.13,5.21,5.29,3740
3,23,72.4,29.37,5.75,6.03,4150
3,24,73.31,29.62,4.6,5.26,4168
3,25,71.91,29.74,3.08,6.21,5003.85
3,26,69.59,29.66,2.49,6.66,4259.26
3,27,73.74,29.22,2.56,5.29,3619.35
3,28,79.6,28.69,3.04,5.21,3785.19
3,29,79.65,28.92,3.86,6.87,3829.63
3,30,78.79,29.09,5.1,5.68,3453.57
3,31,72.76,29.5,4.91,5.51,3483.33
4,1,72.41,29.16,2.82,5.72,4220.83
4,2,70.19,29.34,2.56,4.85,4592.59
4,3,69.91,29.65,3.35,5.52,3203.03
4,4,75.59,29.31,3.18,4.28,3545.45
4,5,75.53,29.1,2.57,5.71,3845.16
4,6,74.38,29.2,2.29,4.6,2780
4,7,72.74,29.82,2.93,4.44,2272.22
4,8,74.1,29.6,2.26,5.94,3353.12
4,9,73.77,29.47,2.86,5.31,3300
4,10,72.98,29.72,2.53,5.03,2947.06
4,11,77.54,29.46,2.07,5.56,2193.55
4,12,79.56,29.24,2.34,4.74,1725
4,13,78.78,28.81,2.14,4.64,1745
4,14,73.63,29.24,2.28,4.27,2919.35
4,15,77.04,29.22,3.72,4.3,3538.46
4,16,74.28,29.82,2.39,5.13,3586.21
4,17,77.21,29.77,3.11,4.45,3546.15
4,18,82.49,29.01,3.52,5.6,3437.5
4,19,82.08,28.94,3.15,5.86,3383.33
4,20,81.21,29.1,4.46,4.48,4530.77
4,21,78.22,29.58,3.35,4.63,3011.43
4,22,80.34,29.18,3.11,5.68,3470
4,23,75.48,29.71,3.8,5.89,3606.67
4,24,79.82,29.4,4.47,4.56,2741.18
4,25,78.13,29.55,4.22,5.88,3093.33
4,26,75.97,29.79,3.87,5.91,3831.03
4,27,80.16,29.19,3.19,5.53,3131.03
4,28,78.4,29.43,2.26,4.22,2878.79
4,29,80.72,29.33,2.89,4.25,3889.66
4,30,80.17,29.67,4.47,5.42,2925.71
5,1,75.7,29.76,5.19,4.84,3665.22
5,2,79.43,29.76,5.24,3.99,3244
5,3,78.97,29.62,4.18,5.19,2970.97
5,4,78.56,29.76,3.67,5.7,4608.33
5,5,76.48,29.3,3.34,4.49,3548.94
5,6,77.74,29.2,4.07,4.1,2620
5,7,80.17,28.72,2.98,4.08,3360
5,8,81.79,28.76,4.27,4.39,3576
5,9,78.31,28.62,3.26,3.95,2973.08
5,10,80.88,28.19,3.38,4.85,3526.67
5,11,81.6,28.33,2.81,5.68,3463.33
5,12,82.47,28.2,3.96,4.61,2696.55
5,13,76.88,28.84,3.04,5.6,4317.24
5,14,79.16,28.44,3.83,4.78,1636
5,15,79.44,28.81,3.7,4.09,3134.78
5,16,79.55,27.98,2.57,4.38,3262.07
5,17,80.23,28.25,3.28,3.98,2667.65
5,18,76.91,28.59,3.22,5.07,2488.57
5,19,77.03,29.04,4.08,5.29,2816.13
5,20,82.67,28.64,5.77,5.69,3450
5,21,80.43,28.4,3.57,5.3,4574.19
5,22,78.11,29.13,4.17,4.9,5113.04
5,23,84.17,28.79,6.41,5.59,3500
5,24,84.34,28.95,6.26,5.58,2588.89
5,25,87.59,28.03,11.01,5.73,1670.83
5,26,86.18,27.97,10.35,4.06,3084.38
5,27,85.54,28.19,7.01,5.18,3306.25
5,28,86.66,28.3,9.58,4.83,5691.67
5,29,82.92,28.48,8.94,5.62,5096
5,30,80.52,28.61,7.5,4,4025.81
5,31,81.52,28.64,4.66,4.5,3050
6,1,84.27,28.26,4.11,3.86,5009.38
6,2,87.43,27.98,5.54,3.65,3526.92
6,3,85.26,27.97,5.83,4.16,2582.86
6,4,83.98,28.35,5.86,3.93,4491.3
6,5,83.09,28.52,5.11,3.74,1552.78
6,6,81.62,28.52,5.29,2.36,4033.33
6,7,85.8,28.12,6.01,3.63,2642.86
6,8,85.98,28.49,9.07,4.05,3059.26
6,9,85.83,28.59,9.88,3.21,2065.62
6,10,87.89,28.35,7.61,2.7,1503.23
6,11,84.05,28.48,8.44,2.51,2031.03
6,12,83.6,28.21,8.01,3.23,1718.18
6,13,85.65,27.98,6.57,3.09,2509.68
6,14,84.05,27.87,6.08,3.69,3860
6,15,87.74,27.81,4.54,2.28,3306.45
6,16,85.6,27.1,5.02,2.75,3441.38
